Original,Altered
"HEAR, O ISRAEL: THE LORD OUR GOD, THE LORD IS ONE.","\textsc{Hear, O Israel: The Lord our God, the Lord is One.}"
NOW THESE,Now these
THESE ARE,These are
"And the \lord called unto Moses, and spoke unto him out of the tent of meeting, saying:","And the \lord called unto Moses, and spoke unto him out of the tent of meeting, saying:"
In the beginning God created the heaven and the earth.,In the beginning God created the heaven and the earth.
s’,s’ 
LORD’S ,\lord\textsc{’s}\space 
LORD’S,\lord\textsc{’s}
LORD,\lord
\lord ,\lord\space 
I AM THAT I AM,\textsc{I Am That I Am}
I AM,\textsc{I Am}
GOD,\textsc{God}
יהוה,\englishshem
HOLY TO THE,\textsc{Holy to the}
